PROM_ACT	D_EDAD	D_FINCON	PORC_DES	HIST_P	D_DURAC	TPROM4_2	MMODELO	TDEUDA	REGION_3	ADQUISI1	REST_AG1	RTIP_CTA	RESTADO	
100	197	533	0	5	3	3	1	3	1	3	1	1	1	
10	273	457	0	1	3	2	1	1	1	2	1	3	0	
68	265	465	0	1	3	1	1	1	1	2	1	1	0	
0	260	470	0	2	3	3	3	1	1	3	3	1	1	
180	255	475	0	1	3	1	2	1	1	3	1	1	0	
49	252	478	0	1	3	2	1	1	1	2	1	1	0	
37	245	485	0	1	3	1	1	1	1	2	1	3	0	
7	218	512	0	1	3	1	1	2	1	3	1	3	0	
69	212	518	0	1	3	1	1	1	1	2	1	3	0	
164	210	520	0	1	3	1	1	1	1	2	1	3	0	
115	200	530	0	1	3	1	1	1	1	2	1	1	0	
45	645	85	0	1	3	1	1	2	1	3	2	4	0	
0	133	597	2	2	3	3	1	2	1	3	1	3	0	
129	127	603	0	1	3	1	1	1	1	2	1	1	0	
1249	344	386	0	1	3	1	1	1	1	1	1	1	0	
2	343	387	0	3	3	3	1	2	1	1	1	3	0	
526	677	53	0	1	3	1	1	1	1	3	2	1	0	
0	687	43	1	2	3	3	1	2	1	3	2	3	0	
4	662	68	1	1	3	2	2	1	1	3	2	3	0	
21	408	322	2	6	3	3	1	3	1	3	2	3	1	
119	647	83	0	1	3	1	1	1	1	3	1	1	0	
271	167	563	0	7	3	1	3	3	1	3	2	1	1	
76	636	460	0	2	2	1	1	2	1	2	2	3	0	
73	632	464	0	3	2	3	1	1	1	3	2	3	0	
181	232	316	0	7	2	3	1	3	1	2	1	1	1	
69	262	468	0	1	3	2	1	1	1	3	2	1	1	
37	471	77	0	1	2	2	3	1	1	3	2	1	1	
68	584	146	0	1	3	1	1	1	1	2	3	1	0	
38	552	178	0	1	3	1	3	1	1	3	2	1	0	
14	245	485	1	1	3	2	2	1	1	3	2	3	1	
11	525	205	0	1	3	3	2	1	1	1	2	1	0	
165	506	224	0	2	3	1	2	1	1	2	3	4	0	
12	171	377	1	7	2	3	3	3	1	3	2	3	1	
