LIQACID	SOLVENC	PROPACT	PNOCOR	AUTOFIN	INMACT	REXP_INT	CONDICIO	RLIQACD	RSOLVEN	RPROACT	RPNOCOR	RAUTOFIN	RINMACT	RREX_INT
44.6366825	221.0181685	54.75485084	10.97457097	-21.34711339	77.94299151	-228.1600346	1	44.6366825	221.0181685	54.75485084	10.97457097	-21.34711339	77.94299151	-228.1600346
28.91074167	158.849091	37.04716888	10.95871795	-20.36938229	78.52362807	-223.0467257	1	28.91074167	158.849091	37.04716888	10.95871795	-20.36938229	78.52362807	-223.0467257
647.8547829	985.6998113	89.85492349	7.544212413	1.301781375	82.85660056	198.7978472	1	300	600	89.85492349	7.544212413	1.301781375	82.85660056	198.7978472
212.620794	248.1758967	59.70599831	23.77620839	-15.9176747	60.10508374	-152.9184176	1	212.620794	248.1758967	59.70599831	23.77620839	-15.9176747	60.10508374	-152.9184176
70.47366622	121.4604647	17.6686832	24.39623558	-14.0976766	59.17102424	-430.8957457	1	70.47366622	121.4604647	17.6686832	24.39623558	-14.0976766	59.17102424	-430.8957457
45.5122152	128.0791914	21.92330471	8.614134124	-7.087364295	31.80952678	-63.96436636	1	45.5122152	128.0791914	21.92330471	8.614134124	-7.087364295	31.80952678	-63.96436636
93.89581108	210.7389036	52.54791674	7.686971268	0	54.54572531	-123.0173415	1	93.89581108	210.7389036	52.54791674	7.686971268	0	54.54572531	-123.0173415
63.75170503	153.4313532	34.82427294	10.69428895	4.425428363	35.46200677	25.99650403	1	63.75170503	153.4313532	34.82427294	10.69428895	4.425428363	35.46200677	25.99650403
45.77020054	117.8009472	15.11103912	29.53161544	-13.56577915	51.92035159	-264.752094	1	45.77020054	117.8009472	15.11103912	29.53161544	-13.56577915	51.92035159	-264.752094
39.53309782	183.044253	45.36840225	28.31675702	-58.98464291	71.60123934	-437.832701	1	39.53309782	183.044253	45.36840225	28.31675702	-50	71.60123934	-437.832701
281.7656187	267.527606	62.62067997	35.04495902	-0.361121478	93.42257326	4.975948801	1	281.7656187	267.527606	62.62067997	35.04495902	-0.361121478	93.42257326	4.975948801
49.77053023	203.6306835	50.89148732	3.216489045	23.74961553	100	-267.8470139	1	49.77053023	203.6306835	50.89148732	3.216489045	23.74961553	100	-267.8470139
35.68735355	217.5366167	54.03072756	7.589773923	-8.646282825	60.43773153	-103.4078911	1	35.68735355	217.5366167	54.03072756	7.589773923	-8.646282825	60.43773153	-103.4078911
108.2445489	228.2768313	56.19353947	0	0.886300741	31.67295868	19.25267061	1	108.2445489	228.2768313	56.19353947	0	0.886300741	31.67295868	19.25267061
28.68264954	126.3739727	20.86978209	16.73418043	-33.92349637	63.48053089	-97.45151427	1	28.68264954	126.3739727	20.86978209	16.73418043	-33.92349637	63.48053089	-97.45151427
55.53808002	159.5377873	37.31892507	1.349028822	-16.97760988	52.53439979	-1207.874833	1	55.53808002	159.5377873	37.31892507	1.349028822	-16.97760988	52.53439979	-750
22.49178489	239.3452613	49.80648673	17.31229832	24.67609047	90.15981655	-465.7976682	1	22.49178489	239.3452613	49.80648673	17.31229832	24.67609047	90.15981655	-465.7976682
76.45388841	274.220447	63.53298921	14.44261995	-55.34812486	77.93298893	-189.9230642	1	76.45388841	274.220447	63.53298921	14.44261995	-50	77.93298893	-189.9230642
35.01014579	186.542814	46.39300338	2.289996275	13.14480378	60.87202689	1455.482571	1	35.01014579	186.542814	46.39300338	2.289996275	13.14480378	60.87202689	750
44.67053092	130.1332586	23.1556936	4.035612194	-3.850046492	54.27091455	-393.769724	1	44.67053092	130.1332586	23.1556936	4.035612194	-3.850046492	54.27091455	-393.769724
24.87339922	146.176578	31.58958748	3.718862671	-11.41805323	70.01988006	-211.0857516	1	24.87339922	146.176578	31.58958748	3.718862671	-11.41805323	70.01988006	-211.0857516
51.62709741	185.7638085	46.168201	29.5259708	11.68928613	86.30851625	117.6558372	1	51.62709741	185.7638085	46.168201	29.5259708	11.68928613	86.30851625	117.6558372
91.73088059	210.6436653	52.52646222	0	-9.868551589	56.45210575	-309.4126917	1	91.73088059	210.6436653	52.52646222	0	-9.868551589	56.45210575	-309.4126917
7.943548161	144.537743	30.81391897	6.162654053	-14.30371421	84.98521164	-292.9016707	1	7.943548161	144.537743	30.81391897	6.162654053	-14.30371421	84.98521164	-292.9016707
34.69648721	108.4453595	7.787663317	0.872826994	-0.111885517	46.34848912	-102.3510571	1	34.69648721	108.4453595	7.787663317	0.872826994	-0.111885517	46.34848912	-102.3510571
787.009551	1303.346157	92.32744122	0.453415145	17.20203705	35.45350034	224.9629328	2	300	600	92.32744122	0.453415145	17.20203705	35.45350034	224.9629328
107.2010602	149.027759	32.8984072	38.37571227	5.674057294	65.61972294	92.21100176	2	107.2010602	149.027759	32.8984072	38.37571227	5.674057294	65.61972294	92.21100176
124.1565402	252.7376583	60.43328064	0	11.22744073	32.15251433	29.87430474	2	124.1565402	252.7376583	60.43328064	0	11.22744073	32.15251433	29.87430474
12.49170374	204.6904569	51.14574391	0.01574048	0	57.45275186	-4514.265831	2	12.49170374	204.6904569	51.14574391	0.01574048	0	57.45275186	-1532
290.4048055	656.4171214	84.76578433	0.257244123	32.46418087	39.24313022	9750.254619	2	290.4048055	600	84.76578433	0.257244123	32.46418087	39.24313022	741
791.6286459	1548.189126	93.54084082	0.466094721	0	34.99640432	-8827.35985	2	300	600	93.54084082	0.466094721	0	34.99640432	-1532
