CONDICIO	LIQACID	SOLVENC	PROPACT	PNOCOR	AUTOFIN	INMACT	INMPN	RENTECO	MAREXP	REXP_INT
1	44.6366825	221.0181685	54.75485084	10.97457097	-21.34711339	77.94299151	142.3490162	-12.78249968	-18.58045331	-228.1600346
1	28.91074167	158.849091	37.04716888	10.95871795	-20.36938229	78.52362807	211.9558132	-20.36938229	-118.8570296	-223.0467257
1	647.8547829	985.6998113	89.85492349	7.544212413	1.301781375	82.85660056	92.21153092	1.301781375	1.824025598	198.7978472
1	212.620794	248.1758967	59.70599831	23.77620839	-15.9176747	60.10508374	100.6684177	-7.167178328	-15.02474656	-152.9184176
1	70.47366622	121.4604647	17.6686832	24.39623558	-14.0976766	59.17102424	334.8921002	-6.034523324	-4.294335765	-430.8957457
1	45.5122152	128.0791914	21.92330471	8.614134124	-7.087364295	31.80952678	145.0945795	-9.290002174	-4.495912185	-63.96436636
1	93.89581108	210.7389036	52.54791674	7.686971268	0	54.54572531	103.8018797	-6.81490761	11.58362618	-123.0173415
1	63.75170503	153.4313532	34.82427294	10.69428895	4.425428363	35.46200677	101.8312912	2.134921122	15.01691327	25.99650403
1	45.77020054	117.8009472	15.11103912	29.53161544	-13.56577915	51.92035159	343.5921988	-20.73520069	-15.90984997	-264.752094
1	39.53309782	183.044253	45.36840225	28.31675702	-58.98464291	71.60123934	157.8218226	-29.45929675	-20.33567344	-437.832701
1	281.7656187	267.527606	62.62067997	35.04495902	-0.361121478	93.42257326	149.1880531	0.148939644	27.58038166	4.975948801
1	49.77053023	203.6306835	50.89148732	3.216489045	23.74961553	100	196.4965169	-3.260388231	-8.421651468	-267.8470139
1	35.68735355	217.5366167	54.03072756	7.589773923	-8.646282825	60.43773153	111.8580746	-8.646282825	-3.270460303	-103.4078911
1	108.2445489	228.2768313	56.19353947	0	0.886300741	31.67295868	56.36405712	0.886199147	2.566516202	19.25267061
1	28.68264954	126.3739727	20.86978209	16.73418043	-33.92349637	63.48053089	304.1743829	-9.379392029	2.709084389	-97.45151427
1	55.53808002	159.5377873	37.31892507	1.349028822	-16.97760988	52.53439979	140.771471	-12.87936294	-13.74469674	-1207.874833
1	22.49178489	239.3452613	49.80648673	17.31229832	24.67609047	90.15981655	181.0202294	-6.851898707	-24.7972586	-465.7976682
1	76.45388841	274.220447	63.53298921	14.44261995	-55.34812486	77.93298893	122.6653899	-8.516014726	-4.157750468	-189.9230642
1	35.01014579	186.542814	46.39300338	2.289996275	13.14480378	60.87202689	131.2094981	12.5023275	-11.98025285	1455.482571
1	44.67053092	130.1332586	23.1556936	4.035612194	-3.850046492	54.27091455	234.3739535	-10.02283972	-7.998916164	-393.769724
1	24.87339922	146.176578	31.58958748	3.718862671	-11.41805323	70.01988006	221.6549365	-23.17509688	-4.532322774	-211.0857516
1	51.62709741	185.7638085	46.168201	29.5259708	11.68928613	86.30851625	186.9436417	4.543529745	16.06036198	117.6558372
1	91.73088059	210.6436653	52.52646222	0	-9.868551589	56.45210575	107.4736492	-6.744121294	-22.36137225	-309.4126917
1	7.943548161	144.537743	30.81391897	6.162654053	-14.30371421	84.98521164	275.8013731	-14.30371421	-59.96488365	-292.9016707
1	34.69648721	108.4453595	7.787663317	0.872826994	-0.111885517	46.34848912	595.152708	-26.22314722	-20.91387067	-102.3510571
2	787.009551	1303.346157	92.32744122	0.453415145	17.20203705	35.45350034	38.39974321	0.336288602	3.305401312	224.9629328
2	107.2010602	149.027759	32.8984072	38.37571227	5.674057294	65.61972294	199.461702	5.784707071	5.216883892	92.21100176
2	124.1565402	252.7376583	60.43328064	0	11.22744073	32.15251433	53.20332438	0.704381369	0.53127713	29.87430474
2	12.49170374	204.6904569	51.14574391	0.01574048	0	57.45275186	112.3314424	-29.05559661	-11.34416517	-4514.265831
2	290.4048055	656.4171214	84.76578433	0.257244123	32.46418087	39.24313022	46.29595601	17.93007369	10.62135638	9750.254619
2	791.6286459	1548.189126	93.54084082	0.466094721	0	34.99640432	37.41296744	-16.22143366	-11.63518721	-8827.35985
2	56.92207783	201.890892	50.46829553	20.98339898	0.983306574	79.11023006	156.7523318	0.983306574	14.80556698	29.03392752
2	33.18326341	267.1572995	62.56886853	0	30.85403681	65.70091031	105.005751	9.926450249	2.050075458	740.8663718
2	108.6218811	451.0678775	77.83038762	0	-12.84168863	56.66092304	72.80051503	-27.99170178	-16.7155505	-1532.343365
2	88.38948893	299.2938116	66.58801615	0	-3.064174984	56.9156006	85.47423979	-13.80851662	-4.992830766	-161.5935391
2	89.1063169	152.5763749	34.45905367	36.76756359	4.947672305	73.09911106	212.1332517	3.290237604	19.26028731	86.81770199
2	81.25132859	350.9125164	71.50286886	0.433836358	-43.1510693	40.15567387	56.15952829	1.65596465	6.396812586	227.1568386
2	43.89504645	200.4448446	50.21141639	27.82306658	-2.53580136	84.51761773	168.3235085	-11.84965463	-34.95310282	-1891.043604
2	71.2376702	621.5343877	83.91078563	0.276356397	37.69274905	62.77403064	74.81044321	33.55928924	11.70927038	14386.92582
2	70.4958786	204.1518272	51.01684792	0.897308968	20.32189889	41.08180196	80.52595101	3.526952924	2.932597928	296.5842125
2	151.1390768	343.5622659	70.89319465	8.088294387	2.021077337	63.21786538	89.17339061	3.338511559	8.343338411	353.1266347
2	119.0420973	257.0972072	61.10420603	27.84792382	18.03418008	85.2809555	139.5664244	6.037868691	8.688702829	242.5311006
2	102.3426681	193.4011215	48.29399167	14.28767911	22.99049331	44.43243999	92.00407432	0.667072785	11.81275598	12.26854943
2	31.36236298	211.0928388	52.6274787	11.65762337	1.980137902	68.47656854	130.1156168	3.82657407	1.913212672	89.23318367
2	68.31270786	159.6527957	43.34468221	11.76947781	22.00352259	40.25959718	92.88243709	0.682199599	0.656132325	24.4646911
2	178.4401815	374.7420132	73.31497498	1.78288468	27.95751877	53.73483013	73.29311664	8.527446705	14.63771009	810.4787159
2	33.18562064	129.8723713	23.00132893	10.96049341	3.851340269	64.28087272	279.4659079	5.423835389	3.297316948	190.5745934
2	95.02568798	220.6377139	54.67683278	23.35726765	8.663132857	74.4754149	136.2101847	7.792057091	-7.531587267	134.3117437
2	12.87664022	136.6321634	26.81079071	45.11551593	-60.92608072	87.92098244	327.9313295	-11.88133581	-20.98742268	-223.7945951
2	119.3523478	428.9542184	76.68748885	3.657328055	-41.93374851	40.83134551	53.24381607	2.710431499	5.618976224	232.9347076
